room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified
15876706,8171682,Entire home/apt,Centrum West,0,0,4,2,457,12/28/16
6382287,33268360,Entire home/apt,Centrum West,33,5,4,2,355,12/28/16
953041,2411128,Entire home/apt,Centrum West,55,4.5,2,1,317,12/28/16
8393739,8194617,Entire home/apt,De Baarsjes / Oud West,5,5,4,3,312,12/28/16
16093425,13104598,Entire home/apt,Centrum West,0,0,4,2,464,12/28/16
4374110,82145,Entire home/apt,Westerpark,17,4.5,4,2,321,12/28/16
11615588,61498626,Entire home/apt,Westerpark,2,0,6,3,323,12/28/16
14421552,10820879,Entire home/apt,Centrum West,5,5,8,3,431,12/28/16
3500433,1400952,Entire home/apt,De Baarsjes / Oud West,20,5,2,1,323,12/28/16
3536557,15847782,Entire home/apt,Westerpark,10,4.5,8,3,372,12/28/16
15350277,18571882,Entire home/apt,De Baarsjes / Oud West,1,0,4,3,377,12/28/16
